,date,team,q1,q2,q3,q4,q5,q6
194,2024-02-15,雷霆,31,29,32,35,,
195,2024-02-15,魔術,32,20,30,31,,
196,2024-02-15,塞爾蒂克,36,36,26,20,,
197,2024-02-15,籃網,30,27,25,28,,
198,2024-02-15,熱火,40,29,29,25,,
199,2024-02-15,公鹿,28,24,24,21,,
200,2024-02-15,灰狼,37,22,25,37,,
201,2024-02-15,拓荒者,25,26,32,26,,
202,2024-02-15,國王,39,28,25,33,,
203,2024-02-15,太陽,38,26,30,36,,
204,2024-02-15,活塞,24,24,31,32,,
205,2024-02-15,湖人,34,37,28,26,,
206,2024-02-15,老鷹,31,24,25,19,,
207,2024-02-15,黃蜂,29,32,35,26,,
208,2024-02-15,尼克,36,19,22,23,,
209,2024-02-15,魔術,27,38,24,29,,
210,2024-02-15,熱火,33,27,23,26,,
211,2024-02-15,76人,33,29,20,22,,
212,2024-02-15,公牛,32,17,27,29,,
213,2024-02-15,騎士,25,18,28,37,,
214,2024-02-15,溜馬,31,34,36,26,,
215,2024-02-15,暴龍,35,36,32,22,,
216,2024-02-15,籃網,15,17,23,31,,
217,2024-02-15,塞爾蒂克,30,38,33,35,,
218,2024-02-15,火箭,21,28,32,32,,
219,2024-02-15,灰熊,36,22,26,37,,
220,2024-02-15,巫師,26,34,38,28,,
221,2024-02-15,鵜鶘,31,37,31,34,,
222,2024-02-15,馬刺,32,19,14,28,,
223,2024-02-15,獨行俠,25,31,32,28,,
224,2024-02-15,國王,16,25,30,31,,
225,2024-02-15,金塊,27,26,21,24,,
226,2024-02-15,活塞,25,16,28,31,,
227,2024-02-15,太陽,37,33,29,17,,
228,2024-02-15,湖人,34,36,38,30,,
229,2024-02-15,爵士,28,41,23,30,,
230,2024-02-15,快艇,23,29,34,44,,
231,2024-02-15,勇士,30,29,38,28,,
