,片名,英文名,預告片Url,內容介紹Url,觀眾評分,片長,級數,影片介紹
10,叛諜檔案,The Bricklayer,https://today.line.me/tw/v2/article/aGvQJqn,https://today.line.me/tw/v2/movie/pej37o6,9.4,• 1小時45分 • 上映1週,輔15級,★《全面攻佔》傑瑞德巴特勒 親自傾力監製。 ★《全面攻佔》原班億萬團隊打造全新動作篇章！ ★《全面攻佔：倒數救援》亞倫艾克哈特退去總統職位，化身硬漢特務，火爆登場！ ★改編自暢銷作家-諾亞博伊德的同名神作，書評讚譽精彩刺激超越「神隱任務-傑克李奇」 ★CIA美國中情局慘遭構陷，創局以來最大危機！  犯罪組織殺死一名揭露中情局事件的小報記者，並向中央情報局索要100萬美元，否則將會有人持續死亡，中情局不以為意，僅派特務攜帶沒現金的行李袋前往，不料遭到識破並被殺害。犯罪組織進而謀殺一位參議員，該參議員曾大肆批評中央情報局辦事不利，這次索要200萬美元；特務帶著現金袋前往交易，卻在途中消失了。第三位
11,星願,Wish,https://today.line.me/tw/v2/article/JP9ngkK,https://today.line.me/tw/v2/movie/9mrjewm,7.7,• 1小時45分 • 上映1週,輔15級,《冰雪奇緣》《海洋奇緣》系列團隊製作 世界上最原始且神奇的力量 對著星星許下願望 魔法就會實現   迪士尼全新動畫《星願》將帶給大家扣人心弦的音樂劇，講述「向星星許願」的起源故事。人們將有史以來第一次見證星星的魔力與許願的力量，了解到在浩瀚宇宙中，懷有真心的願望是最強大的力量。這部電影將為華特迪士尼公司 100 週年慶祝活動迎來最高潮，同時慶祝華特迪士尼動畫工作室這一百年帶來的所有精彩故事。   故事以魔法國度羅莎市王國作為舞台展開，描述艾霞因為感知到其他人都未能察覺的黑暗正威脅著她的國家，於是向星空許願。在那片星空中，一顆活力四射的星星回應了她的願望，艾霞與寵物山羊小諾就此展開一場魔法冒險之
12,BIG,BIG,https://today.line.me/tw/v2/article/BE0r5yz,https://today.line.me/tw/v2/movie/qoPWL7k,9.9,• 1小時45分 • 上映1週,輔15級,魏德聖導演最新作品 816《BIG》 -不同背景的六個家庭，在兒癌病房中一起經歷的酸甜苦辣-  行動暗號「耶穌誕生」，是聖誕，是新生，更是重生。  整日鬧哄哄病房裡有在動物園長大的源源；老躲在自製機器人裡的是延；騎著車在醫院走廊冒險的羅恆；屁股長了球球只能穿裙子的努拉；厭世音樂少女珈農與情竇初開的中二少男大杉；以及老是吵架鬥嘴，到了緊要關頭卻又互相扶持的家長們。 這裡有耶穌 V.S. 地藏王、有輪椅尬車大會，有小孩說要喇舌一起睡！？苦樂共享的816病房，把握每個當下，珍惜好好說再見的機會。到底是誰把門上的816塗改成 BIG？BIG 代表什麼？全員又是為了什麼秘密任務而逃離醫院呢⋯⋯？
13,搖滾吧！中二樂團,On-Gaku: Our Sound,https://today.line.me/tw/v2/article/qoP92p2,https://today.line.me/tw/v2/movie/j7JgjXz,10,• 1小時45分 • 上映1週,輔15級,★改編自演員兼漫畫家 大橋裕之 原創漫畫《音樂和漫畫》 ★導演 岩井澤健治 採用「轉描機技術」展現人物生動感 ★費時7年、超過4萬張原稿，前所未見的全手繪動畫電影誕生！ ★2019 TIAF臺中國際動畫影展 ★第43屆加拿大渥太華國際動畫影展 最佳動畫長片 ★2020安錫國際動畫影展 長篇動畫最優秀原創音樂獎   惡名昭彰的不良高中生研二，和他的好友太田、朝倉，每天過著遊手好閒的高中生活。某天，研二擅自將追捕強盜犯的樂手寄託給他的貝斯帶回家，沒想到竟讓他和太田、朝倉三人興起了組成樂團的想法…。  更多資訊請見： 「車庫娛樂」粉絲頁：https://www.facebook.com/gara
14,細野晴臣：再會美國,Haruomi Hosono Sayonara America,https://today.line.me/tw/v2/article/9m56pzq,https://today.line.me/tw/v2/movie/rm91eNP,10,• 1小時45分 • 上映1週,輔15級,★日本當代樂壇巨匠 細野晴臣 首次美國個人演唱會全紀錄 ★與坂本龍一名列樂壇先驅，獨一無二的音樂家細野晴臣集大成演出 ★《紅白歌合戰》知名音樂節目執行製作人 佐渡岳利 執導 ★集結多位日本樂壇好手，共同打造精彩動人的音樂盛會 ★國際名模水原希子親妹「水原佑果」特別演出 ★一場充滿幸福氛圍與興奮情緒的演唱會，完整紀錄響徹大銀幕！ ★音樂是有趣的，是自由的，因為不需要口罩。  2019年，日本樂壇代表人物之一的音樂大師細野晴臣，迎來出道50周年紀念，並於美國紐約、洛杉磯舉辦首次單獨公演。兩年後的2021年，全世界因新冠病毒的影響遭逢巨變，在自由受到限制的世界中，潛入「曾經沒有口罩的世界」，將細野晴
15,窗邊的小荳荳,Totto-Chan: The Little Girl at the Window,https://today.line.me/tw/v2/article/kEXnXnJ,https://today.line.me/tw/v2/movie/wJGlK3E,14,• 1小時45分 • 上映1週,輔15級,💎影史最吸「金」配音團隊 陳淑芳 x 莫子儀 x 方志友 x 陳慕義 x 林品彤💎 📚全球暢銷2500萬冊的日本經典兒童文學📚 ☀️開春最溫暖人心的動畫電影☀️ 經典永流傳~世代必讀小說《窗邊的小荳荳》 42年後，終於以動畫電影之姿躍上大銀幕！  今年冬天，讓活潑可愛的小荳荳喚起沉睡已久的童心💖 所有陪伴著小荳荳的各位，都一定能充滿自信地生活著！   因為過於活潑好動，才就讀小學一年級的小荳荳被退學了！ 轉學到巴氏學園的她，對新環境滿懷期待與好奇。 新學校的小林校長是個溫柔的人，他對一般人眼裡「怪怪」的小荳荳充滿耐心，總是對小荳荳說：妳真是個好孩子！而活力充沛的小荳荳，也將在新學校展
16,法拉利,Ferrari,https://today.line.me/tw/v2/article/zNYkPV7,https://today.line.me/tw/v2/movie/yz3PGmB,9.1,• 1小時45分 • 上映1週,輔15級,★ 2023威尼斯影展競賽片 ★ 《奧本海默》《絕地營救》製片團隊打造年度鉅獻 ★ 《落日殺神》金獎名導麥可曼恩睽違7年最新作品 ★ 《婚姻故事》奧斯卡提名男星亞當催佛化身法拉利創始人 ★ 《分岐者系列》知名女星雪琳伍德利再創演技新巔峰 ★ 《瘋狂競賽片》奧斯卡獲獎女星潘妮洛普克魯茲加盟演出 ★ 《蜘蛛人：穿越新宇宙》奧斯卡提名作曲家打造動人樂章 ★ 《曼克》《控制》奧斯卡獲獎攝影師構築精彩畫面 ★ 《模仿遊戲》《時時刻刻》奧斯卡提名美術巧手重現歷史場景 ★幕前幕後陣容華麗，強勢問鼎2024奧斯卡！  1957年夏天，前職業車手恩佐法拉利（亞當崔佛 飾）的人生陷入空前危機，他和妻子蘿拉（潘
17,電影版 淘氣小企鵝啵樂樂 超級明星大冒險(國語版),Pororo Popstar Adventure (Chinese),https://today.line.me/tw/v2/article/605lGwj,https://today.line.me/tw/v2/movie/0M6n1W2,10,• 1小時45分 • 上映1週,輔15級,★ 淘氣小企鵝啵樂樂》系列製作團隊打造20週年紀念奇幻冒險鉅獻！ ★ 啵樂樂和朋友們踏上了成為宇宙明星的冒險旅程！ ★ 中文配音版本全台獻映  啵樂樂和朋友們為了參加選出全宇宙最佳超級明星的音樂慶典，踏上了旅程！在藍色石行星上降落的啵樂樂和朋友們，遇上了充滿熱情的經紀人斯克特，在斯克特的幫助下，「啵樂樂樂團」站上了令人心動的預賽。另一邊，帶領著完美AI偶像團「I.ONE」的惡棍大班為了贏過斯克特，意識到「啵樂樂樂團」的超人氣，便決定展開妨礙計畫。比起得冠軍，更喜歡玩樂的「啵樂樂樂團」踏上特別的冒險旅程！  欲知更多《電影版 淘氣小企鵝啵樂樂 超級明星大冒險》資訊，請上： GaragePla
18,12.12：首爾之春,12.12: The Day,https://today.line.me/tw/v2/article/1DO6ro2,https://today.line.me/tw/v2/movie/EX5Mq7Q,9.9,• 1小時45分 • 上映1週,輔15級,★ 韓國下半年票房NO.1！「雙十二政變」真實事件震撼改編！ ★ “這部電影真的瘋了！”──觀眾滿意度99%超高分好評盛讚！ ★《南山的部長們》《魔鬼對決》製作團隊斥資270億打造震撼鉅獻 ★ 黃晸玟X鄭雨盛繼《阿修羅：正邪頑殺》後再次攜手金性洙導演共創精彩巨作！ ★ 影帝李星民X《緊急迫降》朴解浚X《Moving 異能》金成畇熱情重現驚人事件！ ★《D.P：逃兵追緝令》丁海寅X《犯罪都市3》李俊赫驚喜演出！ ★ 徹底改變亞洲命運的震撼9小時！民主歷史上最糟糕的一天！  1979年10月26日發生總統遇刺事件後，在首爾迎來新氣象之際，12月12日保安司令官全斗光（黃晸玟 飾）發起政變，動員
19,爆裂點,Bursting Point,https://today.line.me/tw/v2/article/ZamxpNQ,https://today.line.me/tw/v2/movie/OpGeBz6,7.0,• 1小時45分 • 上映1週,輔15級,★ 2024開年動作強片，《激戰》《破風》導演林超賢再度挑戰強力動作電影 ★ 影帝張家輝與港台男神陳偉霆、楊佑寧展開臥底大戰，敵我難分，一場掃蕩毒品的戰爭即將展開 ★ 張家輝陷入情義兩難，再展神級演技，陳偉霆展現反派演技，為求表現不擇手段  毒品調查科總督察李振邦（張家輝 飾）派出警方臥底江銘（陳偉霆 飾）滲透進入販毒集團，希望能搗破以韓洋（譚俊彦 飾）為首的犯罪組織，其間警隊與製毒集團之間不斷增添對抗的恩怨，讓事態更顯複雜。  在金三角供應毒品原料的膺秀（梁洛施 飾）在丈夫（楊祐寧 飾）被抓後，到了香港，希望能夠作最後一次行動便收山，沒想到女兒遇上意外，讓李振邦能以此要脅她與警方合作，搗破毒
